sp_id	sp_hh_id	age	sex	work_id
1	1154	2	F	X
2	2937	0	M	X
3	2091	2	M	X
4	520	2	M	X
5	1037	0	M	X
6	725	0	F	X
7	2671	2	M	X
8	988	1	F	X
9	803	2	M	X
10	2583	2	M	X
11	2350	2	M	X
12	527	2	M	X
13	1666	0	F	X
14	1139	2	F	X
15	460	1	F	X
16	2880	0	M	X
17	2553	1	M	X
18	932	1	M	X
19	1987	1	M	X
20	325	1	F	X
21	579	0	F	X
22	2809	0	F	X
23	3247	1	M	X
24	2899	1	F	X
25	1538	0	M	X
26	3244	0	F	X
27	3008	0	F	X
28	2550	2	F	X
29	2001	2	F	X
30	2382	2	M	X
31	2332	1	M	X
32	475	2	F	X
33	1078	1	F	X
34	1482	1	M	X
35	1603	2	F	X
36	1444	1	F	X
37	632	2	F	X
38	703	2	M	X
39	2457	0	M	X
40	982	2	F	X
41	1328	0	F	X
42	1959	2	M	X
43	559	2	M	X
44	222	0	M	X
45	1557	0	M	X
46	2206	2	M	X
47	348	1	M	X
48	1183	0	M	X
49	889	1	M	X
50	922	1	F	X
51	1259	1	F	X
52	2710	0	M	X
53	405	1	F	X
54	1281	0	M	X
55	677	1	F	X
56	589	2	M	X
57	1621	2	M	X
58	2606	0	F	X
59	2953	2	F	X
60	3119	2	F	X
61	3285	1	F	X
62	2527	0	F	X
63	2535	1	M	X
64	1595	1	M	X
65	566	1	M	X
66	2572	1	F	X
67	704	1	M	X
68	3078	1	M	X
69	2869	1	F	X
70	3216	0	M	X
71	858	2	F	X
72	1285	1	F	X
73	585	1	M	X
74	2734	1	M	X
75	232	1	F	X
76	2318	1	F	X
77	2988	1	M	X
78	2922	2	M	X
79	1246	2	M	X
80	52	1	M	X
81	2164	2	M	X
82	538	0	F	X
83	541	1	F	X
84	1043	0	M	X
85	815	0	M	X
86	1416	1	M	X
87	2839	2	M	X
88	1653	0	M	X
89	2666	1	F	X
90	419	0	F	X
91	2357	0	M	X
92	864	0	M	X
93	186	0	M	X
94	261	2	F	X
95	1552	0	F	X
96	1297	0	F	X
97	2208	0	M	X
98	2918	2	M	X
99	762	0	F	X
100	224	0	F	X
101	1280	2	M	X
102	180	2	F	X
103	2068	2	F	X
104	1648	0	F	X
105	632	2	M	X
106	3282	2	M	X
107	1537	0	F	X
108	2106	2	F	X
109	3165	0	M	X
110	3293	1	M	X
111	2771	2	F	X
112	1964	1	F	X
113	3304	0	F	X
114	615	2	M	X
115	562	0	F	X
116	2422	1	F	X
117	622	0	F	X
118	2136	2	F	X
119	3092	2	F	X
120	1014	1	M	X
121	2062	0	F	X
122	2181	2	F	X
123	1961	1	M	X
124	1058	2	M	X
125	2940	2	F	X
126	3280	0	F	X
127	3271	2	F	X
128	592	0	M	X
129	583	2	M	X
130	3227	1	M	X
131	1614	2	M	X
132	1102	0	F	X
133	3244	0	M	X
134	289	1	F	X
135	1569	2	M	X
136	3061	2	F	X
137	2927	1	F	X
138	1444	2	F	X
139	7	2	M	X
140	1184	0	F	X
141	240	2	F	X
142	1987	2	F	X
143	1447	1	M	X
144	2584	1	F	X
145	1750	0	M	X
146	2118	2	F	X
147	1904	2	M	X
148	2264	2	F	X
149	3176	0	F	X
150	1078	0	F	X
151	2854	1	F	X
152	2378	0	M	X
153	848	2	F	X
154	3275	2	F	X
155	1312	0	F	X
156	2093	2	M	X
157	2877	2	M	X
158	2246	0	M	X
159	1240	0	F	X
160	1505	2	M	X
161	1333	2	M	X
162	2944	2	M	X
163	2380	1	F	X
164	696	1	M	X
165	27	1	F	X
166	3238	0	M	X
167	2366	1	M	X
168	2413	0	F	X
169	3175	0	F	X
170	960	1	F	X
171	1527	1	M	X
172	1869	1	F	X
173	373	2	F	X
174	1950	1	M	X
175	245	2	F	X
176	1841	0	F	X
177	3241	2	M	X
178	1677	1	M	X
179	2526	0	M	X
180	125	0	F	X
181	537	0	M	X
182	2754	2	F	X
183	1920	1	M	X
184	1636	0	M	X
185	1426	0	M	X
186	1541	0	F	X
187	531	2	F	X
188	2834	2	F	X
189	254	1	F	X
190	2169	2	F	X
191	3104	0	M	X
192	661	1	M	X
193	1802	0	M	X
194	1061	0	M	X
195	1366	2	F	X
196	1037	1	F	X
197	1207	2	F	X
198	2136	2	M	X
199	2094	1	M	X
200	1143	0	F	X
201	2981	0	M	X
202	1555	1	M	X
203	1756	0	F	X
204	1966	1	M	X
205	745	1	F	X
206	1630	2	M	X
207	967	1	F	X
208	763	2	M	X
209	2810	0	F	X
210	794	0	F	X
211	744	0	M	X
212	1070	0	M	X
213	1532	2	F	X
214	558	0	F	X
215	1995	1	F	X
216	526	1	F	X
